Level,Category,Sentence
A1,ADJECTIVES/combining,The weather is cold and windy today.
A1,ADJECTIVES/combining,She is smart and funny.
A1,ADJECTIVES/combining,The park is quiet and peaceful.
A1,ADJECTIVES/combining,He is tall and strong.
A1,ADJECTIVES/combining,The food is delicious and spicy.
A1,ADJECTIVES/combining,The book is interesting and informative.
A1,ADJECTIVES/combining,The flowers are beautiful and colorful.
A1,ADJECTIVES/combining,The movie is exciting and scary.
A1,ADJECTIVES/combining,The dress is pretty and elegant.
A1,ADJECTIVES/combining,The car is fast and reliable.
A2,ADJECTIVES/combining,The movie was long but interesting.
A2,ADJECTIVES/combining,The food was spicy but delicious.
A2,ADJECTIVES/combining,The room was small but cozy.
A2,ADJECTIVES/combining,The dress was simple but elegant.
A2,ADJECTIVES/combining,The book was old but valuable.
A2,ADJECTIVES/combining,The trip was tiring but fun.
A2,ADJECTIVES/combining,The house was big but empty.
A2,ADJECTIVES/combining,The music was loud but enjoyable.
A2,ADJECTIVES/combining,The day was cold but sunny.
A2,ADJECTIVES/combining,The car was old but reliable.
B1,ADJECTIVES/combining,"The beautiful, sunny day made everyone happy."
B1,ADJECTIVES/combining,"She wore a long, red dress to the party."
B1,ADJECTIVES/combining,"The big, old tree provided shade in the garden."
B1,ADJECTIVES/combining,"He bought a new, expensive car last week."
B1,ADJECTIVES/combining,"The small, cozy café was packed with people."
B1,ADJECTIVES/combining,"She read a fascinating, historical novel last night."
B1,ADJECTIVES/combining,"The tall, thin man walked quickly down the street."
B1,ADJECTIVES/combining,"They visited a charming, seaside town on vacation."
B1,ADJECTIVES/combining,"The soft, fluffy pillow was perfect for sleeping."
B1,ADJECTIVES/combining,"The bright, colorful flowers brightened up the room."
B1,ADJECTIVES/combining,The house is bigger and more comfortable than the last one we visited.
B1,ADJECTIVES/combining,She is more intelligent and creative than her classmates.
B1,ADJECTIVES/combining,The new restaurant is more expensive and exclusive than the old one.
B1,ADJECTIVES/combining,He is taller and stronger than his younger brother.
B1,ADJECTIVES/combining,The new phone is faster and more efficient than the previous model.
B1,ADJECTIVES/combining,The garden is more beautiful and well-maintained than the one next door.
B1,ADJECTIVES/combining,The movie is more exciting and suspenseful than the book.
B1,ADJECTIVES/combining,The hotel is more luxurious and spacious than the one we stayed in last year.
B1,ADJECTIVES/combining,The new laptop is lighter and more portable than the old one.
B1,ADJECTIVES/combining,The new dress is more stylish and elegant than the one she wore yesterday.
B1,ADJECTIVES/combining,"Her house is big, comfortable, and very clean."
B1,ADJECTIVES/combining,"She is kind, patient, and always helpful."
B1,ADJECTIVES/combining,"The weather is cold, windy, and sometimes rainy."
B1,ADJECTIVES/combining,"He is smart, hardworking, and very talented."
B1,ADJECTIVES/combining,"The food was delicious, spicy, and very satisfying."
B1,ADJECTIVES/combining,"The dress is elegant, stylish, and very expensive."
B1,ADJECTIVES/combining,"The park is quiet, peaceful, and full of flowers."
B1,ADJECTIVES/combining,"The movie was exciting, action-packed, and very entertaining."
B1,ADJECTIVES/combining,"The book is interesting, informative, and very well-written."
B1,ADJECTIVES/combining,"The car is fast, efficient, and very reliable."
B1,ADJECTIVES/combining,The weather is getting colder and colder as winter approaches.
B1,ADJECTIVES/combining,"As the day went on, the traffic became heavier and heavier."
B1,ADJECTIVES/combining,His attitude towards his job has become more and more negative over time.
B1,ADJECTIVES/combining,The situation in the office is getting more and more tense with each passing day.
B1,ADJECTIVES/combining,Her cooking skills have become better and better with practice.
B1,ADJECTIVES/combining,The noise from the construction site is getting louder and louder.
B1,ADJECTIVES/combining,The quality of the product has improved more and more with each new version.
B1,ADJECTIVES/combining,"As the movie progressed, the tension became greater and greater."
B1,ADJECTIVES/combining,The number of tourists visiting the city has increased more and more each year.
B1,ADJECTIVES/combining,"The cost of living is rising higher and higher, making it difficult for many people."
B1,ADJECTIVES/combining,She wore a stylish and comfortable outfit.
B1,ADJECTIVES/combining,The well-known author gave a fascinating talk.
B1,ADJECTIVES/combining,They live in a spacious and modern apartment.
B1,ADJECTIVES/combining,The well-known actor received an award for his performance.
B1,ADJECTIVES/combining,He bought a high-quality and durable laptop.
B1,ADJECTIVES/combining,The well-known musician performed at the concert.
B1,ADJECTIVES/combining,She prepared a delicious and nutritious meal.
B1,ADJECTIVES/combining,The well-known scientist presented her research findings.
B1,ADJECTIVES/combining,He drove a fast and reliable car.
B1,ADJECTIVES/combining,The well-known artist created a beautiful painting.
B2,ADJECTIVES/combining,The up-to-date software ensures we have the latest security features.
B2,ADJECTIVES/combining,The state-of-the-art facility is equipped with the most advanced technology.
B2,ADJECTIVES/combining,The user-friendly interface makes the device easy to navigate.
B2,ADJECTIVES/combining,The water-proof design is perfect for outdoor activities.
B2,ADJECTIVES/combining,The eco-friendly packaging reduces our carbon footprint.
B2,ADJECTIVES/combining,The cost-effective solution saves the company a significant amount of money.
B2,ADJECTIVES/combining,The time-sensitive project requires immediate attention.
B2,ADJECTIVES/combining,The high-quality materials ensure the product's durability.
B2,ADJECTIVES/combining,The energy-efficient appliances help lower our electricity bills.
B2,ADJECTIVES/combining,The weather-resistant fabric keeps the equipment safe from the elements.
B2,ADJECTIVES/combining,"The old, creaky house stood at the end of the street, filled with memories of a bygone era."
B2,ADJECTIVES/combining,"She wore a bright, colorful dress that made her stand out in the crowd."
B2,ADJECTIVES/combining,"The new, innovative technology has revolutionized the way we communicate."
B2,ADJECTIVES/combining,"He read a thick, historical novel that transported him to another time."
B2,ADJECTIVES/combining,"The small, quaint village was a perfect getaway from the hustle and bustle of the city."
B2,ADJECTIVES/combining,"She prepared a delicious, homemade meal that was both hearty and satisfying."
B2,ADJECTIVES/combining,"The tall, imposing building dominated the skyline of the city."
B2,ADJECTIVES/combining,"He carried a heavy, leather-bound book that seemed to contain ancient secrets."
B2,ADJECTIVES/combining,"The soft, melodic music soothed the restless crowd."
B2,ADJECTIVES/combining,"The large, bustling market was a feast for the senses."
C1,ADJECTIVES/combining,I found the above-mentioned information to be extremely useful in my research.
C1,ADJECTIVES/combining,She was known for her open-minded approach to new ideas and perspectives.
C1,ADJECTIVES/combining,The well-to-do neighborhood had a high concentration of luxury cars.
C1,ADJECTIVES/combining,The jaw-dropping performance left the audience in awe.
C1,ADJECTIVES/combining,His open-minded attitude allowed him to consider all potential solutions.
C1,ADJECTIVES/combining,The above-mentioned points are critical to the success of the project.
C1,ADJECTIVES/combining,"Despite coming from a well-to-do background, she remained humble and grounded."
C1,ADJECTIVES/combining,The jaw-dropping scenery made the hike worth every step.
C1,ADJECTIVES/combining,Her open-mindedness helped her bridge the gap between different cultures.
C1,ADJECTIVES/combining,The well-to-do family donated generously to various charities.
C2,ADJECTIVES/combining,"A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy."
